Legal Land Description,Land Use,Condition/Issues Noted (Rating),KP,Notes,2015 PCRM Assessment and Work Completed,VEC,GIS,Topic
SE 1-54-15 W4,wetland,Vegetation issue (moderate),0+000 to 0+060,"The ROW is revegetating well, but few wetland species were observed during the field survey. The majority of the wetland and wetland species appear to be north of the pipeline ROW, the construction of the pipeline has had limited to no impact on the vegetative composition of the ROW.","July 10, 2015 • <s>The area continues to revegetate with bunch and creeping grasses spreading </s>throughout the RoW • <s>No erosion, subsidence or integrity concerns were identified at the time of the </s>assessment. Oct 6, 2015 • <s>The area continues to revegetate with bunch and creeping grasses spreading </s>throughout the RoW • <s>No erosion, subsidence or integrity concerns were identified at the time of the </s>assessment.",,,
SE 1-54-15 W4,wetland,Noxious weed issue (moderate),0+000 to 0+075,Noxious weeds are present (Canada thistle and perennial sow thistle). Noxious weeds are more severe off ROW.,"July 10, 2015 • <s>Assessed weeds throughout tract </s>• <s>Canada Thistle, Perennial Sow Thistle, Narrow Leaf Hawkweed, Common </s>Tansy and large amount of sweet clover were observed directly east of the Atco gas valve site and the western bar ditch of Hwy 857.  Oct 6, 2015 • <s>Canada Thistle, Perennial Sow Thistle, Narrow Leaf Hawkweed, were </s>observed directly east of the Atco gas valve site and the western bar ditch of Hwy 857.  • <s>Recommend monitoring with possible vegetation control for next growing </s>season all vegetation killed by frost",,,
SW 6-54-14 W4,cropland,Noxious weed issue (low),0+075 to 0+250,"Located on a small natural wet area. Noxious weeds (Canada thistle and perennial sow thistle) are present, which will be managed by normal farming operations.","July 10, 2015 • <s>Tract is located in cropland and is currently producing canola </s>• <s>Tract was not accessed due to LO concerns </s>• <s>No concerns were visible from boundary at time of assessment </s>Oct 6, 2015 • <s>Tract is currently in Canola and not harvested at the time of the assessment, </s>therefore the tract was not accessed. • <s>No concerns were visible from boundary at time of assessment </s>",,,
SW 6-54-14 W4,cropland,Noxious weed issue (low),0+415 to 0+465,Site is on the edge of a small natural wet area that extends 25m to the south of the ROW. Noxious weeds (Canada thistle) are present.,"July 10, 2015 • <s>Tract is located in cropland and is currently producing canola </s>• <s>Tract was not accessed due to LO concerns </s>Oct 6, 2015 • <s>Tract is currently in Canola and not harvested at the time of the assessment, </s>therefore the tract was not accessed.",,,
SW 6-54-14 W4,cropland,No issue observed,0+700,Crop is comparable to the Control. Landowner’s refuse storage site was located just off the ROW.,"July 10, 2015 • <s>Tract is located in cropland and is currently producing canola </s>• <s>Tract was not accessed due to LO concerns </s>Oct 6, 2015 • <s>Tract is currently in Canola and not harvested at the time of the assessment, </s>therefore the tract was not accessed.",,,
SW 6-54-14 W4,wetland,Noxious weed issue (moderate),0+720 to 0+760,"Class II wetland observed. Scentless chamomile was observed on the ROW. Moderate issue as the noxious weeds were picked, bagged and sealed in a plastic bag and properly disposed of (approx. 10 plants).","July 10, 2015 • <s>Tract was not accessed due to landowner concerns with access. </s>Oct 6, 2015 • <s>Tract was not accessed due to landowner concerns with access. </s>",,,
,cropland,Microtopography issue (Moderate),0+775 to 0+855,There is approximately a 5 cm to 10 cm difference between grade on and off ROW. This may be associated with an old fence line. Topsoil was greater than 29 cm was observed on the ROW and on the control. The uneven topography can be attributed to the old fence line. No soil issues were observed.,"July 10, 2015 • <s>Tract is located in cropland and is currently producing canola </s>• <s>Tract was not accessed due to landowner concerns </s>• <s>No concerns were visible from boundary at time of assessment </s>Oct 6, 2015 • <s>Tract is currently in Canola and not harvested at the time of the assessment, </s>therefore the tract was not accessed.",,,
,cropland,Vegetation issue (moderate),0+775 to 0+855,Crop height and density decreased compared to the off-ROW Control. Noxious weeds (Canada thistle) are present which will be managed by normal farming operations.,"July 10, 2015 • <s>Tract is located in cropland and is currently producing canola </s>• <s>Tract was not accessed due to landowner concerns </s>• <s>No concerns were visible from boundary at time of assessment </s>Oct 6, 2015 • <s>Tract is currently in Canola and not harvested at the time of the assessment, </s>therefore the tract was not accessed.",,,
SE 6-54-14 W4,Treed (wind break),Vegetation issue (high),0+900 to 0+920,Drainage ditch (man-made) to the east. High percent cover of invasive plants and nuisance weeds were observed; few desirable species present.,"July 10, 2015 • <s>Tract is located in crop land however a shelterbelt along the western </s>boundary of the quarter section was removed during construction.  • <s>Canada Thistle, Perennial Sow Thistle, Narrow Leaf Hawkweed and Common </s>Tansy were identified in the location of the previous shelterbelt • <s>Recommend vegetation control </s>",,,
,cropland,Vegetation issue (moderate),0+925 to 1+300,"There is a decrease in crop height and density compared to off-ROW Control. No soil issues on the ROW were observed to provide an explanation of the decrease in crop height and density. Few noxious weeds are present, which will be managed by normal farming operations.","July 10, 2015 • <s>Two separate crops appear to have been seeded at separate times. </s>• <s>West portion of tract, crop density, height and maturity appear to be impacted. </s>While off RoW crop throughout the field in this area also varied in density, height and maturity at the time of assessment the RoW was observed to have reduced crop density, height and maturity compared to general offsite conditions. • <s>No erosion, subsidence or integrity concerns were identified at the time of the </s>assessment. Oct 6, 2015 • <s>Quarter was seeded to Barley this past season, stubble at the time of </s>assessment.  Height and density of stubble consistent on and off RoW.  • <s>Dug soil pits in four locations on and off the ROW (KP 1+600, 1+300, 1+200, </s>1+100) and 40 meters south due to potential compaction concern.  Soil replacement is comparable both on and off ROW (14-15cm topsoil on ROW, 16cm topsoil off).  No indication of compaction was observed, roots moving downward and no signs of root stress.  • <s>No erosion, subsidence or integrity concerns were identified at the time of the </s>assessment. • <s>No noxious weeds observed at time of assessment </s>",,,
